CellName,Floor,Building
361-1,F3,B1
361-2,F3,B1
361-3,F3,B1
361-4,F3,B1
361A,F3,B1
361-5,F3,B1
361C,F3,B1
363,F3,B1
361-6,F3,B1
361F,F3,B1
361Y,F3,B1
361Z-1,F3,B1
361Z-2,F3,B1
361Z-3,F3,B1
361W,F3,B1
362W,F3,B1
301Z-1,F3,B1
301Z-2,F3,B1
301Z-3,F3,B1
302W,F3,B1
301W,F3,B1
301Z-4,F3,B1
301Z-5,F3,B1
315Z-6,F3,B1
315Z-7,F3,B1
315Z-4,F3,B1
315Z-8,F3,B1
315Z-9,F3,B1
315Z-5,F3,B1
315Z-10,F3,B1
315Z-11,F3,B1
315Z-12,F3,B1
315Z-13,F3,B1
325,F3,B1
315Z-3,F3,B1
315Z-14,F3,B1
315Z-15,F3,B1
315Z-16,F3,B1
326,F3,B1
302Z,F3,B1
302Y,F3,B1
